Flight No.,Date and time (UTC),"Version, booster[i]",Launch site,Payload[j],Payload mass,Orbit,Customer,Launch outcome,Booster landing
312,"March 21, 2024 20:55[77]",F9 B5 B1080‑6,"Cape Canaveral, SLC‑40",SpaceX CRS-30 (Dragon C209-4),"2,721 kg (5,999 lb)",LEO (ISS),NASA (CRS),Success,Success (LZ‑1)
312,"Six additional CRS-2 missions for Dragon 2 were announced in March 2022, resupplying the ISS until 2026.[78] First launch of Dragon 2 from SLC-40.","Six additional CRS-2 missions for Dragon 2 were announced in March 2022, resupplying the ISS until 2026.[78] First launch of Dragon 2 from SLC-40.","Six additional CRS-2 missions for Dragon 2 were announced in March 2022, resupplying the ISS until 2026.[78] First launch of Dragon 2 from SLC-40.","Six additional CRS-2 missions for Dragon 2 were announced in March 2022, resupplying the ISS until 2026.[78] First launch of Dragon 2 from SLC-40.","Six additional CRS-2 missions for Dragon 2 were announced in March 2022, resupplying the ISS until 2026.[78] First launch of Dragon 2 from SLC-40.","Six additional CRS-2 missions for Dragon 2 were announced in March 2022, resupplying the ISS until 2026.[78] First launch of Dragon 2 from SLC-40.","Six additional CRS-2 missions for Dragon 2 were announced in March 2022, resupplying the ISS until 2026.[78] First launch of Dragon 2 from SLC-40.","Six additional CRS-2 missions for Dragon 2 were announced in March 2022, resupplying the ISS until 2026.[78] First launch of Dragon 2 from SLC-40.","Six additional CRS-2 missions for Dragon 2 were announced in March 2022, resupplying the ISS until 2026.[78] First launch of Dragon 2 from SLC-40."
313,"March 24, 2024 03:09[79]",F9 B5 B1060‑19,"Kennedy, LC‑39A",Starlink: Group 6-42 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI)
313,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.
314,"March 25, 2024 23:42[80]",F9 B5 B1078‑8,"Cape Canaveral, SLC‑40",Starlink: Group 6-46 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
314,"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Least time taken between landing and port's arrival at 50 hours and fastest turnaround of a pad switching from Dragon to Fairing mission, that was completed in 4 days.[81]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Least time taken between landing and port's arrival at 50 hours and fastest turnaround of a pad switching from Dragon to Fairing mission, that was completed in 4 days.[81]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Least time taken between landing and port's arrival at 50 hours and fastest turnaround of a pad switching from Dragon to Fairing mission, that was completed in 4 days.[81]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Least time taken between landing and port's arrival at 50 hours and fastest turnaround of a pad switching from Dragon to Fairing mission, that was completed in 4 days.[81]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Least time taken between landing and port's arrival at 50 hours and fastest turnaround of a pad switching from Dragon to Fairing mission, that was completed in 4 days.[81]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Least time taken between landing and port's arrival at 50 hours and fastest turnaround of a pad switching from Dragon to Fairing mission, that was completed in 4 days.[81]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Least time taken between landing and port's arrival at 50 hours and fastest turnaround of a pad switching from Dragon to Fairing mission, that was completed in 4 days.[81]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Least time taken between landing and port's arrival at 50 hours and fastest turnaround of a pad switching from Dragon to Fairing mission, that was completed in 4 days.[81]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Least time taken between landing and port's arrival at 50 hours and fastest turnaround of a pad switching from Dragon to Fairing mission, that was completed in 4 days.[81]"
315,"March 30, 2024 21:52[82]",F9 B5 B1076‑12,"Kennedy, LC‑39A",Eutelsat 36D,"5,000 kg (11,000 lb)",GTO,Eutelsat,Success,Success (JRTI)
315,Television broadcast satellite. First time SpaceX completed 11 Falcon launches in a calendar month.,Television broadcast satellite. First time SpaceX completed 11 Falcon launches in a calendar month.,Television broadcast satellite. First time SpaceX completed 11 Falcon launches in a calendar month.,Television broadcast satellite. First time SpaceX completed 11 Falcon launches in a calendar month.,Television broadcast satellite. First time SpaceX completed 11 Falcon launches in a calendar month.,Television broadcast satellite. First time SpaceX completed 11 Falcon launches in a calendar month.,Television broadcast satellite. First time SpaceX completed 11 Falcon launches in a calendar month.,Television broadcast satellite. First time SpaceX completed 11 Falcon launches in a calendar month.,Television broadcast satellite. First time SpaceX completed 11 Falcon launches in a calendar month.
316,"March 31, 2024 01:30[83]",F9 B5 B1067‑18,"Cape Canaveral, SLC‑40",Starlink: Group 6-45 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
316,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This marks the first time SpaceX has completed 12 Falcon launches in a calendar month.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This marks the first time SpaceX has completed 12 Falcon launches in a calendar month.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This marks the first time SpaceX has completed 12 Falcon launches in a calendar month.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This marks the first time SpaceX has completed 12 Falcon launches in a calendar month.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This marks the first time SpaceX has completed 12 Falcon launches in a calendar month.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This marks the first time SpaceX has completed 12 Falcon launches in a calendar month.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This marks the first time SpaceX has completed 12 Falcon launches in a calendar month.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This marks the first time SpaceX has completed 12 Falcon launches in a calendar month.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This marks the first time SpaceX has completed 12 Falcon launches in a calendar month.
317,"April 2, 2024 02:30[84]",F9 B5 B1071‑15,"Vandenberg, SLC‑4E",Starlink: Group 7-18 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY)
317,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.
318,"April 5, 2024 09:12[85]",F9 B5 B1069‑14,"Cape Canaveral, SLC‑40",Starlink: Group 6-47 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
318,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.
319,"April 7, 2024 02:25[86]",F9 B5 B1081‑6,"Vandenberg, SLC‑4E",Starlink: Group 8-1 (21 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (OCISLY)
319,"Launch of 21 Starlink v2 mini satellites, including six with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including six with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including six with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including six with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including six with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including six with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including six with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including six with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including six with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation."
320,"April 7, 2024 23:16[87]",F9 B5 B1073‑14,"Kennedy, LC‑39A",Bandwagon-1 (11 payload smallsat rideshare) 425 Project Flight 2,Unknown[k],LEO,Various Republic of Korea Armed Forces,Success,Success (LZ‑1)
320,"Dedicated SmallSat Rideshare mission to 45° inclination, 550–600 km (340–370 mi) altitude.[68][88] The mission includes flight 2 of 425 Project, a military SAR satellite of South Korea with a mass of ~800 kg (1,800 lb).","Dedicated SmallSat Rideshare mission to 45° inclination, 550–600 km (340–370 mi) altitude.[68][88] The mission includes flight 2 of 425 Project, a military SAR satellite of South Korea with a mass of ~800 kg (1,800 lb).","Dedicated SmallSat Rideshare mission to 45° inclination, 550–600 km (340–370 mi) altitude.[68][88] The mission includes flight 2 of 425 Project, a military SAR satellite of South Korea with a mass of ~800 kg (1,800 lb).","Dedicated SmallSat Rideshare mission to 45° inclination, 550–600 km (340–370 mi) altitude.[68][88] The mission includes flight 2 of 425 Project, a military SAR satellite of South Korea with a mass of ~800 kg (1,800 lb).","Dedicated SmallSat Rideshare mission to 45° inclination, 550–600 km (340–370 mi) altitude.[68][88] The mission includes flight 2 of 425 Project, a military SAR satellite of South Korea with a mass of ~800 kg (1,800 lb).","Dedicated SmallSat Rideshare mission to 45° inclination, 550–600 km (340–370 mi) altitude.[68][88] The mission includes flight 2 of 425 Project, a military SAR satellite of South Korea with a mass of ~800 kg (1,800 lb).","Dedicated SmallSat Rideshare mission to 45° inclination, 550–600 km (340–370 mi) altitude.[68][88] The mission includes flight 2 of 425 Project, a military SAR satellite of South Korea with a mass of ~800 kg (1,800 lb).","Dedicated SmallSat Rideshare mission to 45° inclination, 550–600 km (340–370 mi) altitude.[68][88] The mission includes flight 2 of 425 Project, a military SAR satellite of South Korea with a mass of ~800 kg (1,800 lb).","Dedicated SmallSat Rideshare mission to 45° inclination, 550–600 km (340–370 mi) altitude.[68][88] The mission includes flight 2 of 425 Project, a military SAR satellite of South Korea with a mass of ~800 kg (1,800 lb)."
321,"April 10, 2024 05:40[89]",F9 B5 B1083‑2,"Cape Canaveral, SLC‑40",Starlink: Group 6-48 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI)
321,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 17th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 17th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 17th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 17th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 17th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 17th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 17th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 17th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 17th time.
322,"April 11, 2024 14:25[90]",F9 B5 B1082‑3,"Vandenberg, SLC‑4E",USSF-62 (WSF-M 1),"1,200 kg (2,600 lb)",SSO,USSF,Success,Success (LZ‑4)
322,"Launch part of Phase 2 US Space Force contract awarded in 2022. This was the first launch of the Weather System Follow-on Microwave weather satellite, which replaced the aging Defense Meteorological Satellite Program satellites.[91][49]","Launch part of Phase 2 US Space Force contract awarded in 2022. This was the first launch of the Weather System Follow-on Microwave weather satellite, which replaced the aging Defense Meteorological Satellite Program satellites.[91][49]","Launch part of Phase 2 US Space Force contract awarded in 2022. This was the first launch of the Weather System Follow-on Microwave weather satellite, which replaced the aging Defense Meteorological Satellite Program satellites.[91][49]","Launch part of Phase 2 US Space Force contract awarded in 2022. This was the first launch of the Weather System Follow-on Microwave weather satellite, which replaced the aging Defense Meteorological Satellite Program satellites.[91][49]","Launch part of Phase 2 US Space Force contract awarded in 2022. This was the first launch of the Weather System Follow-on Microwave weather satellite, which replaced the aging Defense Meteorological Satellite Program satellites.[91][49]","Launch part of Phase 2 US Space Force contract awarded in 2022. This was the first launch of the Weather System Follow-on Microwave weather satellite, which replaced the aging Defense Meteorological Satellite Program satellites.[91][49]","Launch part of Phase 2 US Space Force contract awarded in 2022. This was the first launch of the Weather System Follow-on Microwave weather satellite, which replaced the aging Defense Meteorological Satellite Program satellites.[91][49]","Launch part of Phase 2 US Space Force contract awarded in 2022. This was the first launch of the Weather System Follow-on Microwave weather satellite, which replaced the aging Defense Meteorological Satellite Program satellites.[91][49]","Launch part of Phase 2 US Space Force contract awarded in 2022. This was the first launch of the Weather System Follow-on Microwave weather satellite, which replaced the aging Defense Meteorological Satellite Program satellites.[91][49]"
323,"April 13, 2024 01:40[92]",F9 B5 B1062‑20,"Cape Canaveral, SLC‑40",Starlink: Group 6-49 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
323,"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly for the 20th time, new record.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly for the 20th time, new record.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly for the 20th time, new record.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly for the 20th time, new record.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly for the 20th time, new record.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly for the 20th time, new record.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly for the 20th time, new record.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly for the 20th time, new record.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly for the 20th time, new record."
324,"April 17, 2024 21:26[93]",F9 B5 B1077‑12,"Kennedy, LC‑39A",Starlink: Group 6-51 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI)
324,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.
325,"April 18, 2024 22:40[94]",F9 B5 B1080‑7,"Cape Canaveral, SLC‑40",Starlink: Group 6-52 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
325,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.
326,"April 23, 2024 22:17[95]",F9 B5 B1078‑9,"Cape Canaveral, SLC‑40",Starlink: Group 6-53 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI)
326,"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th Falcon booster landing, including both Falcon 9 and Falcon Heavy boosters.[96]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th Falcon booster landing, including both Falcon 9 and Falcon Heavy boosters.[96]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th Falcon booster landing, including both Falcon 9 and Falcon Heavy boosters.[96]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th Falcon booster landing, including both Falcon 9 and Falcon Heavy boosters.[96]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th Falcon booster landing, including both Falcon 9 and Falcon Heavy boosters.[96]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th Falcon booster landing, including both Falcon 9 and Falcon Heavy boosters.[96]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th Falcon booster landing, including both Falcon 9 and Falcon Heavy boosters.[96]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th Falcon booster landing, including both Falcon 9 and Falcon Heavy boosters.[96]","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th Falcon booster landing, including both Falcon 9 and Falcon Heavy boosters.[96]"
327,"April 28, 2024 00:34[97]",F9 B5 B1060‑20,"Kennedy, LC‑39A",Galileo-L12 (FOC FM25 & FM27),"1,600 kg (3,500 lb)",MEO,ESA,Success,No attempt
327,"First Galileo satellites booked on a US rocket following delays to the European Ariane 6 program. The booster was expended on this mission due to the performance needed to get the payload to the desired 23,616 km orbit.","First Galileo satellites booked on a US rocket following delays to the European Ariane 6 program. The booster was expended on this mission due to the performance needed to get the payload to the desired 23,616 km orbit.","First Galileo satellites booked on a US rocket following delays to the European Ariane 6 program. The booster was expended on this mission due to the performance needed to get the payload to the desired 23,616 km orbit.","First Galileo satellites booked on a US rocket following delays to the European Ariane 6 program. The booster was expended on this mission due to the performance needed to get the payload to the desired 23,616 km orbit.","First Galileo satellites booked on a US rocket following delays to the European Ariane 6 program. The booster was expended on this mission due to the performance needed to get the payload to the desired 23,616 km orbit.","First Galileo satellites booked on a US rocket following delays to the European Ariane 6 program. The booster was expended on this mission due to the performance needed to get the payload to the desired 23,616 km orbit.","First Galileo satellites booked on a US rocket following delays to the European Ariane 6 program. The booster was expended on this mission due to the performance needed to get the payload to the desired 23,616 km orbit.","First Galileo satellites booked on a US rocket following delays to the European Ariane 6 program. The booster was expended on this mission due to the performance needed to get the payload to the desired 23,616 km orbit.","First Galileo satellites booked on a US rocket following delays to the European Ariane 6 program. The booster was expended on this mission due to the performance needed to get the payload to the desired 23,616 km orbit."
328,"April 28, 2024 22:08[98]",F9 B5 B1076‑13,"Cape Canaveral, SLC‑40",Starlink: Group 6-54 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI)
328,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th consecutive successful Falcon 9 launch.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th consecutive successful Falcon 9 launch.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th consecutive successful Falcon 9 launch.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th consecutive successful Falcon 9 launch.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th consecutive successful Falcon 9 launch.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th consecutive successful Falcon 9 launch.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th consecutive successful Falcon 9 launch.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th consecutive successful Falcon 9 launch.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 300th consecutive successful Falcon 9 launch.
329,"May 2, 2024 18:36[99]",F9 B5 B1061‑20,"Vandenberg, SLC‑4E",WorldView Legion 1 & 2,"1,500 kg (3,300 lb)",SSO,Maxar Technologies,Success,Success (LZ‑4)
329,"Two Maxar Technologies satellites built by subsidiary SSL for subsidiary DigitalGlobe.[100] Ninth flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Two Maxar Technologies satellites built by subsidiary SSL for subsidiary DigitalGlobe.[100] Ninth flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Two Maxar Technologies satellites built by subsidiary SSL for subsidiary DigitalGlobe.[100] Ninth flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Two Maxar Technologies satellites built by subsidiary SSL for subsidiary DigitalGlobe.[100] Ninth flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Two Maxar Technologies satellites built by subsidiary SSL for subsidiary DigitalGlobe.[100] Ninth flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Two Maxar Technologies satellites built by subsidiary SSL for subsidiary DigitalGlobe.[100] Ninth flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Two Maxar Technologies satellites built by subsidiary SSL for subsidiary DigitalGlobe.[100] Ninth flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Two Maxar Technologies satellites built by subsidiary SSL for subsidiary DigitalGlobe.[100] Ninth flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Two Maxar Technologies satellites built by subsidiary SSL for subsidiary DigitalGlobe.[100] Ninth flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements."
330,"May 3, 2024 02:37[101]",F9 B5 B1067‑19,"Cape Canaveral, SLC‑40",Starlink: Group 6-55 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
